index	tag	guid	description
873	2	4012	Thank u for your understanding heart and shining smile.I want to kiss the aching everywhere #GetWellSoonMinho http://t.co/LdCF9d6TXI
874	0	3140	Liam James Payne. ? #infatuated
875	2	4723	RT @JYPE_JAPAN: JUNHO (From 2PM) Solo Tour 2015 "LAST NIGHT"@名古屋1日目！この夜を盛り上げるのに欠かせない皆さんの大きな歓声と掛け声！最高でした?名古屋公演まだ明日も続きます? http://t.co/jOMYYtb…
876	1	2829	#Retweet #WeightLoss #SaveNOW #AmericanMuscle #EXILE #Euphoric Weight Loss Capsules
877	2	3586	Sinful thoughts on #SinfulSunday over gorgeous #HotBlonde Lynna as she slips out of thos…
878	1	1284	@_CarlyLombardi taking my notes for me #whipped
879	0	1365	"#Desolate" by pvallet67 - #D810 #France #Graffiti
880	0	2763	Why are you feeling downcast? Take the quiz:
881	2	655	RT @McShay13: Cooper vs Hargreaves top screen. Ball not thrown but notice No.9's suddenness +ability to drop weight at top of stem
882	0	1703	What does Jesus teach about anger? #jesus #christian #theology #anger #faith
883	0	3452	Have You Ever Woken Up In The Middle Of Night Paralyzed? ...
884	0	2100	LOOK AT THESE STUNNING PHOTOS OF A DESERTED NYC IN THE... https://t.co/ZLzEDGGFRD
885	1	2984	Frustrated with work life balance #entrepreneurs, #smallbusiness #startups #motivation
886	2	1325	@RSPBMinsmere new to my garden this year #delighted #thankyouforvisiting #longtailedtit @Visit_Suffolk
887	1	3406	The Nervous System: The Key to Intelligent Survival #biology
888	2	526	Cayendo copos casi imperceptibles suficientes para hacerte sentir esa felicidad estúpida e infantil #snow #elated
889	2	2977	@itskibbsy BILL COSBY WHY HAVE YOU FORSAKEN THIS WOMAN
890	2	4998	FAV for Outcast http://t.co/SkxxhaX5uu
891	0	364	RT @brasswax: #BookCovers: #Ecstatic #Collaboration #NumberNext @PJManney's "(R)EVOLUTION" #47North
892	0	1069	When cooper brings weak shit in the lane #thrown #D1
893	2	4809	RT @RaleighNCRR: Week 2 of voting rights trial gets heated http://t.co/QYuZEJWRtT http://t.co/cevCkXeCc2
894	2	5038	RT @BarbaraBkdv: Fans r #Passionate about completing #TheBorgias w/ S4! We will #NeverStop campaigning! @netflix @freepeter #NYCC http://t.…
895	2	1318	Mohon jgn jeles! Selfie with @jordansuckley! #Damaged
896	0	3838	RT @ASAPTrilllifee: BRO ON GOD THIS HOE USED TO EAT ??
897	1	2110	RT @danielkemp6: Debut Novel under a current paid option to film. (US) (UK)
898	2	2503	RT @jamesdrodriguez: Un nuevo a?o de oportunidades de la mano de Dios y siempre con su apoyo! #FelizCumpleJames
899	2	1416	Hahaha love this face @PhotographerRob ??? It makes me so happy!! #crazy #sillyface #cute #love??
900	2	1190	Comment #spiderman est mort et ressuscité... trois fois #sony #peine #zéro
901	1	3163	Tips To Run In The Heat : ,
902	2	1023	#workout #fitness at -- 50 SHADES of HOT ????#motivation #attitude #strong #focused #fitne…
903	1	4086	Cell Phone USA : Samsung Galaxy S 4 IV SGH-I337-16GB- AT&T Unlocked Smartphone WHITE-BLACK… http://t.co/KJi1TLl9XT http://t.co/FM1QAmhDgm
904	2	1675	@CarsonKressley Totally No Buzzer's #Remorse necessary when you win big like this! @TheChaseUSA @CameronMathison
905	2	729	My Best Of All???? #Broken @LEVI_DA_GRATE
906	2	1570	RT @BeOptics: If I'm not there this is how my bot lane is #smh #hopeless
907	2	474	"I can't believe It! That was on my bucket list!": Woman overjoyed at sight of @BarackObama
908	0	254	Too Fast and Too Furious? - New Photos and Details!
909	2	3487	RT @taylorswift13: When @UzoAduba walked out, it provoked one of the loudest screams from the crowd I've EVER heard. I just love herrrrr ht…
910	0	4301	Genuine HP 564XL Black Ink Cartridge in Damaged Retail Box http://t.co/G471rSRZlt http://t.co/Dg7JSSqmpa
911	2	1766	SO FUCKING BEAUTIFUL. #speechless @AndyBVB @ChrisABiersack @AmyBsack
912	0	1730	Had to be rescued off the mountain! #skiingitaly #mortified
913	2	62	This beer goes well with Ghost Bath's 'Moonlover'. Some ebullient stuff going on, just wish the vox were cranked up.
914	2	3740	As you can see the animals are absolutely thrilled about us no longer living sin.
915	2	942	Wai borlog! Patiwakal laturrr! ? #Infatuated
916	2	1843	"1 in 3 women across the planet will be beaten or raped during her lifetime. That’s ONE BILLION WOMEN" @VDay @PC_VDay
917	2	548	Hell hath no fury like Wor Margaret scorned! @staithscafebar #pizza #ValentinesDay
918	2	1930	- ????? ????? ?? ?????????
919	2	638	cant deny that i was slightly taken aback when i lifted my head and saw this placed on my head. It's no yu. get it? ?
920	2	3144	fawnsmithersfzt : fawnsmithersfzt : AnkeetaGupta : RT toitv: IN PICS: Sexy hosts of Indian…
921	2	3265	RT @WomanCrushPlx: nobody's perfect...except for Blake Lively
922	0	4880	https://t.co/rWFsbXSzTV http://t…
923	1	2903	RT @GovernorPerry: Last summer I told @BarackObama "if the fed government won't secure the border, Texas will!" http…
924	0	2167	This is so needed!! My body feels battered #aching #doms
925	2	3610	@FrankIero love the movie"Home Alone"?here!my version of"FIATC alone in Russia!"this was done to concert in Moscow
926	1	994	Where there’s a whisk, there’s a way. #powerless #bakersgonnabake
927	2	2006	My favorite cowboy turns 53 today! So grateful for him and truly madly in love! #goodguy #devoted #fittogether
928	2	1633	#February #Winter #Rainy #Stormy #Windy #Tuesday #Night #Love #Happy #Positive #Passionate #Calm #Joy #Dancing ???
929	0	2692	RT @pinkflemingos: me, disconcerted @ high street
930	2	1335	What if I find someone new, but still fall asleep to the thought of you. ??#love #peace #deucesbitch #depressed #st…
931	2	1094	The beautiful and radiant sight of Hull City's stadium awaiting the arrival of #avfc ;) #Creepy #Bleak
932	2	228	RT @Poofy_Fluffkins: man this one was tough. finished Con badge for @imaginehiswings
933	2	4972	RT @toho_eropic: こあ！ http://t.co/u4lfzJxu3q http://t.co/nVCfYo86Ly
934	0	3337	RT: RT FlappyTeam: RT workwrite: Homesick Game Review: Beautiful, Melancholy, Trickier Than Expected, …
935	2	2729	RT @ThislsAmazing: Two German soldiers trying to comfort a distressed child
936	1	2970	RT @Pleinsdebetises: On a touché le fond les gens.
937	2	265	И как говорил мой дорогой товарищ:"лавки-скамейки"
938	2	1219	#fit40 #fit#fitness #muscle #motivation #stilettos #superwomen #strong #superwomen #provocative #protein #blondie #…
939	2	2819	RT @monde_biodi: Certains animaux ont plus de chances que d'autres ..
940	1	2054	RT @ianbremmer: GDP Impact, $50 Cut in Oil Price
941	0	2015	For 30 years this house has not seen a human inside of it :) #abandoned #Ontario #urbex
942	0	4356	http://t.co/it2GOQaWb7 http://t.co/grNlUz2DMJ
943	2	2323	Lenox Caribbee Gravy Boat Attached Plate X-444 New Condition Retired HTF
944	2	1524	RT @Bear_hunt: #minicar #Light #GreenLight #Furious #Dodge #Challenger #1:18 Ok if you are a collector yo…
945	2	1067	How I feel about my Psalms class. #thrilled #jennmemes
946	2	2912	RT @GlobalCIF: @Charlottgotalot @fervent_foodie Visited @VidaCantina tonight. Great #food & #flair. Excellent #guac.
947	1	198	Ynn.io: Wink's promise of a simple, afforda... https://t.co/rHweoorts1 via @youthsnews #mashable
948	1	1071	Bringing a little bit of Boston to Phoenix #thunderstruck #patriots #SWW15
949	2	3249	Two bowls of the leftover muffin batter. Breakfast of champions. #nebraska
950	2	1434	Cayendo copos casi imperceptibles suficientes para hacerte sentir esa felicidad estúpida e infantil #snow #elated
951	2	1206	#vida #life #forca #strong #viva #live #love #fr…
952	0	1507	#selfharmmm #suicidal #staystrong #sad #anerexic #flawed #suicide #bands #tears #sadness #…
953	2	3272	I thought Sinon might be getting a bit lonely so I brought her some friends :)
954	0	1498	by flys_of_thoughts Mitch Lucker- end #finished #art #artiste #artist #music #musician #hardrock #mitchlucker #mitc…
955	2	3418	RT @SaiyanSyrian: This photo from Jerusalem is beautiful. Occupied Palestinians showing solidarity for the oppressed Syrians.
956	2	4817	RT @SInowLIVE: WATCH: Sign of the Apocalypse: Shaq's heated instagram feud with Scottie Pippen http://t.co/U5meYqPKd0 http://t.co/0X77qafgdw
957	0	3225	RT @SherwoodRangerT: Many days lacking of tree of the day sorry here's today's! @AncientTreesATF two in one!
958	1	637	Rudd walked away and left Abbott taken aback.
959	2	2963	Charles Peterson " Gills Rock Foggy Wednesday" Rare S/N Mint Fishing Save $$$$
960	1	4129	Outlook for U.S. TV Ad Spending Bleak, SMI Reports 5% Drop in Q2 - http://t.co/qHbmFTzFNk http://t.co/ldc1YPcMtV
961	2	5011	Overjoyed!! @maxfrost will return to Portland in October!! http://t.co/yltgMctIWa
962	0	2960	@MikeAndMike .....they're coming.....and no donut or mani/pedi salon is safe. @Reds #AllStarGame
963	2	292	RT @1GTurner: Last day on camp for me! Quality track session from the group. 132 x 400m from 9 athletes! #dizzy #altitudetraining
964	1	1165	All Natural Bandage 4 #Cooks! STOPS #Bleeding in SECONDS #culinary #recipes @rachelray @gzchef
965	0	2841	Teenager on #Humans & #GeorgeMichael as a kid need better pic of George as a teen
966	2	2826	RT @CHSW: Feeling euphoric having tackled Cheddar Gorge! #CHSWRide
967	0	4418	RT @bostonherald: Anxiety, outrage after girl's encounter with discarded hypodermic needle in park #Boston https://t.co/SKny4XX7fk http://t…
968	2	2372	Camera Deals : Black WiFi 1080P Full HD Helmet Sports Action Waterproof Car Camera Camcord…
969	0	2718	RT @HLTVorg: A fairly dispirited @TeamEnVyUs are out in the semifinals to @Cloud9gg.
970	1	4100	End Da… http://t.co/qFy25F5jra
971	1	3807	Turned hot tub into a foam party?? @JackKerans @2mum4 @duffers22 @KearaBooth @ljkerans
972	1	531	RT @FleetPolice: #ValentinesDay. If your heading out for the night make sure it's not ruined with a room for one at one of our B&B's. http:…
973	1	2869	RT @AvanteeA: False Allegations by media exposed by Shiva: Asaram Bapu Ji never meets any girl alone. #Media420
974	1	1028	@westys1981 @Ronbow55 @cwestwood1979 I'll never understand why this never made the paper #startled #unuseable
975	2	1621	RT @dereksimonds: GM @GrantRandom #paralyzed @InFlames_SWE belongs on #BigUnsSXM thanks @matthewkheafy for intro. @AceDeucy @pm9
976	2	3596	THIS is what happens when you let sisters borrow books. If you ever wonder why I'm skittish a/b my books...
977	0	2923	RT @Solafagbemi: My face when The Hunger games: catching fire finished...
978	0	248	RT @njudah_star: POST MATCH: Dean Smith furious after @WFCOfficial penalty debacle #wfc
979	0	871	#broken #gradient #noedges #raster #grain #colorize
980	2	456	#Elated?RT @warblerscon: @LetLoveInEvents is glad to announce the second guest of the #warblerscon: @DominicMBarnes!
981	2	66	#nowplaying ELISA - ebullient future / rainbow pulsation ～THE BEST OF ELISA～
982	2	187	Orlandooo? ? RT @TV_Exposed: Peter Jackson with the cast before the filming of Lord of the Rings
983	0	5053	RT @TonyReinke: Why secularists are powerless to stop #PlannedParenthood [by Francis Schaeffer and C. Everett Koop]: http://t.co/T0Glo0O3EU
984	1	4515	RT @FIFAWWC: The retirement of #FIFAWWC top scorer Celia #Sasic features in @FIFAcom's Week in Numbers. http://t.co/cuMC9xFIh8 http://t.co/…
985	1	938	St Marys beaten in Sigerson Cup #marys #beaten #sigerson #cup #LebInfo
986	2	790	RT @yuny_khoo: Jumpa pelancong2 ni masa kat Masjid Selat. Pastu terus ajak makan. They are from US, Spain, and Japan.
987	0	2881	15 Fucked Up Sunburns That Will Make You Fear the Summer!
988	2	1521	RT @aiysha91: #Fuming #fiery #AngryYoungMan #shlok #Outstanding #Expression #Perfect #Attitude @avinashsachdev4 @imwaseemsabir
989	0	2844	This table stain looks like an exasperated dog!
990	1	1509	Upando pq né, ficar parado n?o da xp #forsaken
991	0	316	RT @NRO: Professor Argues That College Students Are Helpless and Need ‘Dictator’ Teachers
992	2	4327	Well done on getting most improved player mate! You look delighted with that accolade?@ChenoGarciaa http://t.co/gKBVFY1BH6
993	2	3215	My best friend is incredible @JessicaDruett going to make me emotional such a kind hearted girl ??
994	2	3408	RT @CadenceBippen: @fhcspartanbands we are nervous but excited and ready for BAND CAMP WOO HOO! Have fun on Wednesday!
995	0	3918	RT @designovernewz: Suicide Squad’s Director Has a Message for Worried Fans
996	2	1609	#petrolprices #gasprice #unfair #costs #outraged
997	2	54	RT @TaoOfDolly: DOLLY HERO Meet 25 yr-old Meg, Britain's oldest dog! Rescued from puppy farm by doting dogdad http:/…
998	2	2559	RT @assassinscreed: Both assassins crushed it at the #AssassinsCreed Experience, with @PaulRogerAmos winning by a hair!
999	2	1361	RT @_carrienet_: Do you trust your intuition? The quirky urge? A funny feeling? That littl #depression
1000	2	1687	#Bobbi #Kristina #Brown #Transferred #From ‘#Chaotic’ #North #Fulton #Hospital At ... #Bobbys
1001	1	4657	#嵐 http://t.co/nUhh4VHWfW
1002	0	3058	RT @michell57319641: Most normal people are horrified by those who use dogs on foxes or other wildlife #KeepTheBan h…
1003	1	2658	Why are you feeling despondent? Take the quiz:
1004	1	2796	Avon Grape Bud Vase Skin So Soft Empty Bottle 1973 Original Box #Bonanza #Avon
1005	1	1144	#spiritstallionofthecimarron #spirit #horse #horses #equine #cavalo #caballo #cavallo #wild #wildhorse #mustang #m…
1006	2	3422	RT @FansTWD3: Fiesta de la nueva serie de Robert Kirkman Outcast' en el Andaz Hotel. @wwwbigbaldhead =)
1007	1	3925	A HISTORY OF THE WORSHIPFUL SOCIETY OF APOTHECARIES OF LONDON 1617-1815 Pharmacy
1008	2	569	@blingblingtya03 da sinful tongue dat drive everyone crazy
1009	1	865	Wednesday: High pressure remains in charge yet again. Staying dry and cloudy in most places. #gloomy
1010	1	825	#broken #flat #edges #shuffle #white #thin #gram #grain
1011	0	3496	RT @stevensdudley: Quick take: my analysis of what #ElChapo escape means for #EPN #Mexico. @ajcorchado @randyNYT htt…
1012	1	26	Waxwing trills, Chickadees calling "here sweetie", enthusiastic athletes, blue sky & snow at #ualbertafarm #UAlberta
1013	1	678	RT @Dinki777: #FreeLolita Trapped in tiny concrete tank for decades. https://t.co/sGGQXtzYZd #BlackFish #WorldWhaleDay
1014	2	149	RT @FreddyAmazin: i love tumblr ??
1015	1	828	RT @JacobyShaddix: Not unpacking just re packing. Tour life #FEARtour #FEAR
1016	1	2552	RT @DailyMailUK: Benefits dad who claims he can't work is caught lifting 17-STONE mobility scooter up stairs
1017	2	128	RT @hayleyforson: 2 hours down, 6 to go! Learning to ski is knackering but so much fun ? @Snow_Factor #ski #olympia2024 #aching #smiles htt…
1018	2	4164	LITTLEST PET SHOP COCKER SPANIEL 1209 BLUE GREY BLUE EYES BLEMISHED http://t.co/NMkeUFt2tF http://t.co/3e2lQuPvuo
1019	2	1793	Im not finished adoring this
1020	0	2455	@mcc_ebooks blurred #p6x40 #minbluemaxgreen #dots
1021	2	974	#February #Winter #Rainy #Stormy #Windy #Wednesday #Evening #Love #Happy #Positive #Passionate #Calm #Fun #UK ?? ?
1022	0	1761	Sims community is sickeningly polite. My toxic mentality prevents me from befriending other 'Simmers" #2edgy #shunned
1023	1	3017	Jarlett de Grouchy is hiring a #FMCG #Insight Analyst, apply now! #Leeds #jobs
1024	0	2087	Boxer beats up gang of thugs after they harass his wife: #fight #crazy
1025	1	3015	@TCC_Grouchy @HomeOfUncleSam @ScholarlyChick @RWNutjob1 @SA_Hartdegen @APLMom @LLMajer @dmb1031
1026	2	4232	RT @nnnnoeyyy: #?????????? ????????? 55555555555555555555555555 ???????????????????????????????????????????????? http://t.co/LNzdKUC5FD
1027	0	3916	RT @NastyHipHop: Skrillex & A$AP Rocky - Wild for the Night
1028	2	3647	RT @humdaora: M?e preciso fazer um trabalho....
1029	2	3527	RT @ModTrav: Horseback Riding on Flagler Beach with Equestrian Adventures @jeari1 #flagler #beach #summ…
1030	1	3689	I'm playing @pixtaword and I'm stumped with this one, can you help?
1031	1	4671	He Drilled A Hole in a Tire When He Finished . . .I Was S... http://t.co/W6ElZPcrPZ http://t.co/3UmUz0SzAU
1032	0	3943	Some of the team volunteered at the SMGA outing today at @MoheganSun GC. Helping Wounded Warriors was humbling #USA
1033	0	2126	Smell scent of #ROSES in Ur life w/#LOVE #Abused #Dogs need help. #Sponsorship 4 Books Write-MaggieTails@gmail.com RT
1034	1	985	Genghis Khan ~ ily #relatable #king #passionate #yeet #yas #sogengrn @ap_genghis
1035	1	1781	RT @OfficialAbow: #IAMBLACK- #IMATTER to our #Etsy community! #Handmade #Black #Egyptian #Amber
1036	0	550	RT @BB_Bella140: The mom shamed me two years ago: worth it!
1037	1	3041	LEFT OEM BMW 5/6 SERIES E60/E61/E63/E64 645 650 Auto DIM HEATED MIRROR GLASS LH
1038	2	4991	What Do You Mean You’re Spiritual? #meditation #spiritual #mindfulness http://t.co/zAwK24IzOf http://t.co/xZxhjylB4L
1039	1	985	Genghis Khan ~ ily #relatable #king #passionate #yeet #yas #sogengrn @ap_genghis
1040	0	4433	RT @KBSnews: "? ??? ? ?? ????" ?????? 6?? ?? ?? ?? ?? ?? ??.. 10? ?? ?? ? ???? ???, ???? ??? ??? ?? ??????. http://t.co/3lmVs5smnp http://t…
1041	2	1076	With the 2015 class signed, we're turning our focus to the 2016 class. 2016, are you ready to be #Thunderstruck?
1042	0	3557	RT @ZeeCafe: As they say, Hell hath no fury like a woman scorned. Best not to get on Claire's bad side no? #HouseOfCards
1043	1	927	So this is not even a quarter of my possessions #horrified #wankyfridaynightsorting
1044	2	4328	Thanks @TheCooperative for my fantastic prize, absolutely delighted. http://t.co/444WNxCeJe
1045	2	4620	Thank you @BlogHer15 for an amazing experience. I left exhausted & exhilarated. #SpeakBeautiful @Dove http://t.co/6NmHFwNvTc
1046	2	3926	Masonic Lodge WM Worshipful Master 2011-2012 Year Lapel Pin and Gift Pouch
1047	2	1614	From "girlfriend" to "fiancé" ???? #overjoyed #tobemrswebb
1048	0	1957	RT @AstroTerry: #speechless from this #sunrise
1049	0	376	Other fans are disappointed && I'm over here #ECSTATiC!! REFUND that $$, please && #THANKYOU ??
1050	2	4927	RT @Hamza_Africa: A man's beauty is judged by the number of camels he owns. #Somalia #Djibouti #Africa #Somali http://t.co/gXwsMmKWmP
1051	1	1282	RT @NBJContheMove: School District Wants To Close Achievement Gap By Recruiting More #Black Teachers:
1052	2	1487	Adopt these #happiness #habits for greater #productivity -
1053	2	4382	Why are you feeling despondent? Take the quiz: http://t.co/4HAZ2YKvJC http://t.co/0JUSoqsP9H
1054	2	4493	RT @TheSpec: Doting brother, budding trendsetter: Prince George celebrates 2nd birthday #royalshttp://buff.ly/1Mo9ZJ8 http://t.co/kGeoLwXwof
1055	1	2371	Michael Kors New Cindy Large Satchel Black Leather Handbag $298 - Full read by eBay
1056	2	1437	RT @TiagoPires80: It's definitely good to be home. #empty #supertubes
1057	2	4024	Writing powered by Kale salad...I'll take it! #grateful that I was able to write something coherent. http://t.co/FT4lgu829x
1058	2	4957	Painter: Taneichi - Uploaded by: July 21, 2015 17:47 … http://t.co/PcIl2CQl6Q
1059	1	483	Flexible spinal cord implants will let paralyzed people walk
1060	2	2051	Antique White 18K Filligre Gold Diamond Ring w/ 2 Trillium Cut Blue Sapphires
1061	2	3754	RT @_TronVin_: She fucking smirks after being thrown against the wall.
1062	2	3607	Mexican Weekend Villa with Minimalistic Decorated Small Garden
1063	2	4241	RT @Texastweetybird: #Reagan proved that Compassionate Constitutional Conservatism is possible w/o corrupting our founding principles http:…
1064	2	1626	EBAY SALE: PokerM.ag #passionate #HR #leader #Business #Seeking
1065	0	2064	In the U.S. people believe receiving mean Tweets is on par to this woman's suffering. It is truly a debased West.
1066	0	593	Man stabbed in front of Scotiabank cinema #yxe #spnews
1067	2	4758	It was worth standing in line two hours before the store opened to think about questions. #Exposing personal belongings as much as RT is done http://t.co/sdEIbBmjMz
1068	1	4124	End Date: Sunda… http://t.co/2JiTZDfIwY
1069	0	4902	RT @essencemag: 9 Signs that he’s intimidated by your success: http://t.co/It2uNjjn6B http://t.co/oKAXWG1LPq
1070	0	2158	3 New Tips to Handling Your Anger #anger #issues #love #relationship
1071	2	2613	My room has the perfect window for sneaking out. too bad I'm not a delinquent child
1072	2	4279	RT @WHATAGRIER: #MyFavoriteCashMoment when Cam wanted Nash to pray with him when he cut his foot http://t.co/3oSvlpcxmx
1073	2	3185	RT @PatBakalian: HILLARY STRONG – Real #HillaryMen Aren’t Intimidated by Hillary’s Strength
1074	1	428	16" Devoucoux Socoa Saddle - 2009, 0 Flap, Medium Tree
1075	0	3166	RT @MajorNews911: UPDATED: Police: 2 dead, 3 injured in police-involved shooting in River Forest, Ill. -@WGNNews htt…
1076	2	4497	Weirdness: Doting Dad Transforms Nursery Into The Ultimate Mario Kart 8 Tribute http://t.co/tQfLpdJNJa http://t.co/dcAYhsbsBb
1077	0	4824	http://t.co/7eNNz6rHOC #8527 Foot Massager Spa Bath Health Beauty Hydro Therapy Heated Pedicure Vibrate Lig http://t.co/GQnCUpYYr9
1078	2	844	#finished #my #pallet #town #project #pokemon #yellow #version #ash #tomorow #i #start #ro…
1079	2	3219	RT @CuteDecorations: These kind of guys deserve everything.
1080	0	1404	#Tagline #Disney #dismal #RooneyMara #EverRacistLand
1081	0	4763	RT @ladydragn: @2coolcatz Grim Reaper. ..ok some whiskers r cut do to wound other side is long http://t.co/jnT26rOnie
1082	1	3693	RT @runnersworld: Stumped about what to wear for your run? Let us help!
1083	2	891	Don’t get #burned. #hotseat #mobile #Tuesday
1084	2	4909	Краснодар - #Спартак комментирует Уткин. http://t.co/BjqtVRAPK9
1085	2	536	PETER recovered the Mayan Lenses that COLONEL SOYER had snatched during the ruined wedding ceremony.
1086	2	3245	#WomansHealth #Featured Home Uses Of Leftover Citrus Peels
1087	2	694	RT @dragon_gothic_2: #justwrite #lessons #broken #vss #mypoetry
1088	2	1973	Come see @ashleysorrows1 live on @YouNow! Watch:
1089	2	3026	RT @KevinZimmster: Why can't I just have happiness
1090	2	1757	#TBT wore this hat cause it matches still #SHAMED ??
1091	1	865	Wednesday: High pressure remains in charge yet again. Staying dry and cloudy in most places. #gloomy
1092	2	4666	My Greyhound on his way to being finished, only one half to go! http://t.co/5nUTrVKWiR
1093	2	4218	RT @NME: 20 chaotic, historic secret gigs that will always be remembered http://t.co/yt2SfbQ7Ar http://t.co/RNLPb8nPj1
1094	2	2065	"So you felt demeaned, debased, abused&assaulted. Embrace these feelings,for me" #ChristianGrey #50DollarsNot50Shades
1095	0	1593	Deadend #urbex #abandoned #tampere #photography
1096	1	868	#gloomy #piano Chinese #secrets to sarcoidosis healing: An ebook that reveals why there
1097	2	1558	RT @LeaderUp: We tend to forget that #happiness doesn't come as a result of getting what we don't have... Via @benkubassek
1098	1	358	RT @Number10cat: The Government wants to cut benefits to obese people. In related news:
1099	2	3097	RT @ddambrosio: Questa sera grigliata Argentina.. Un grazie speciale ai cuochi del #PortenoArena ??? @fguarin13 @Mateo_k10 @23_Frog
1100	0	3750	RT @Elizete_11: .@UKTI sometimes thrown live into rotating drum that removes the fur with boiling water Uncivilised!
1101	0	5067	RT @cyprusmail: Expats left reeling as Barclays close accounts in Cyprus under ?100,000 http://t.co/3mEVluPXpu http://t.co/0pnsMFY26f
1102	2	853	F14 WED ?1000 Can stand for FLAWED/ FEBRUARY 14TH WEDDING. #flawed #feb14th #valentinesday
1103	2	540	Blog Post: #VivaBianca #Scorned #Panties #PosingHot #Female #Horny #Babe #NudeScene
1104	0	2961	RT @MeteoGib: #Gibraltar - view from the office - yes its back! #Levanter - currently 22C and a foggy/ super sticky 100% humidity!
1105	1	1662	RT @F_L_Z_t: #intense #Intense 951 EVO #Mountain #Bike 2014 Flo Orange #bicycle #Mountainbike #RakutenIchiba
1106	2	1149	Fabulous #Doset #wild #turbot #wildturbot, #cauliflower and #dill #polleninfusion @HedoneLondon last night
1107	0	1293	The 21 Deadliest Ani #wildlife #wild
1108	0	196	A #boyhood like no other @MortalEndBook #thrilling #dark #mystery #horror #depraved #fairytale
1109	2	1259	My favorite thing about our apartment is hands down the amazing view. #trapped #BOSnow
1110	0	836	#art #arte #photo #artist #retrato #MujeresPoderosas #miradas #Photoshop #design #horror #fear
1111	0	4331	True confessions of a delinquent #dog owner in the 'live free or die' state http://t.co/XYlr3wIbSm @mht_nh_police http://t.co/9SSR2FmPuB
1112	2	1114	Born here. Raised here. Choose to live here. #whyilovephilly #Vibrant #Diverse #Passionate #Home #ValentinesDay #LOVE
1113	1	2727	#TrueReligion Men's #Ricky #Straight #Jeans #Distressed #Tag 36 38WX27L M242H37Y9 via @eBay
1114	1	2788	Portable Military Style Jungle Hammock OD Camping Easy Setup Elevated Shelter
1115	2	3258	RT @cambriatours: Even through the drizzle, spirits were high at the lively #CardiffFoodFest today! @cardiff_events Our group loved it! htt…
1116	2	2373	RT @LittleMix: What an AMAZING week! Lots more #BlackMagic fun still to come! Are you ready? Mixers HQ x
1117	2	4408	RT @SouthernRecipe: RT @john_rules: I love that there's a whole rack devoted to #porkrinds and #cracklins http://t.co/DUQWrWaFXa
1118	0	3668	RT @Things4WhitePpl: Taking a selfie after getting stabbed
1119	0	4938	#VdoBuzz http://t.co/vfVqZIJu0E
1120	1	1837	? ? #2.5 grain 24K 999.9 Pure fine gold bullion bar with COA barren not 2.5 gram A 26 #juw…
1121	1	4798	99-2004 Grand Cherokee Power Remote Mirror Heated Right http://t.co/jlRibv2ezp http://t.co/pwIbnO54Su
1122	0	4166	Herman Miller Aeron OEM Replacement Back Frame Size B  3D11 SAPPHIRE Blemished http://t.co/HpmzA0amLG http://t.co/2TkRLvtmW6
1123	0	5082	RT @FutbolSergi: Higuain rejected giving someone an autograph in the street, got told he can't take penalties then there was a quarrel http…
1124	2	3640	4 pcs Faux Pearl Flower Diamante Sparkling Flower Rhinestone Button 1 inch
1125	1	2058	Absolute blast from the past! How I managed to text on this keypad I'll never know #abused #nokia3310
1126	1	4502	RT @4middleschool: Middle school conversations http://t.co/Qm3dyYhPXh
1127	2	1062	#Pretty #thrilled #while# getting #ready# for an #exciting# shoot #at #ptv #studios#. Wish# me #luckz
1128	2	410	RT @RichardWiseman: Bloody hell RT @drhingram: A light-hearted moment from a children's bible there (via @andynyman )
1129	2	2799	RT @cbtopshop: If U're a #woman, these tips will soon have u feeling fit and energetic #Yeast #Infection Cure http:/…
1130	1	2862	The chairs, walls and ceilings are covered, Our bodies and hairs are exposed.
1131	1	1781	RT @OfficialAbow: #IAMBLACK- #IMATTER to our #Etsy community! #Handmade #Black #Egyptian #Amber
1132	1	1026	RT @MVS_SchoolPsych: @MVS_Principal now our February character trait is #caring
1133	0	22	Enraged by this? Then spread awareness! Loyalty...betrayed... #StopYulin2015
1134	0	3793	RT @SimsReacting: when your mate is on some next level shit getting drunk at a party
1135	2	1351	cry as much as u want to,but make sure when u're finished,u never cry again #love #smile #czechgirl #broken
1136	2	610	It's my dream to one day get sponsored by @Cellucor so I don't have to worry about this problem #empty #m5 #nzero
1137	2	2139	@prettynostalgic look at today's #treasures #scrapbook #family #photos #discarded #prettynostalgic
1138	2	53	#soutmanf Stand W73 until Thursday #laser #cut #weld
1139	2	3244	RT @TheBuckeyeNut: Only 1 Left So Take Advantage Of This Rare Ohio State - Heisman O-H-I-O -Framed Photo! ?
1140	1	3463	PARTIAL PLATE NUMBER coil, Scott 1613 3.1c violin, Joint Line strip of 6 MNH !!
1141	1	3678	RT @ACunninghamMP: Storming opening speech from @Andy4Leader speaking in person inTeesside on why he should be Labour Party leader
1142	2	1744	#Ygy by niowaskito Let's Go !! #JLS #BantulCity #Jayaningrat #NEO #NCA #Adidas #Outcast #Sunday #MyTrip #MyAdvantur…
1143	0	1528	Basketball #abandoned #urbex #decay #exploration #trespassing #akron #basketball #bball
1144	0	1740	#Outcast #LARP night @ArenaScreen #Hollywood @eOneFilmsUS
1145	2	1371	@georgiebyfield you do wear a hella lotta gold and silver tho #confusion
